Record_Index,Provider_First_Name,Provider_Last_Name,Original_Practice_Name,Matching_Status,Matched_Practice_Name,Similarity_Score,Matched_NPI,Matched_Column,Associated_Provider,City,State,NPI-1_From_API,NPI-2_From_API
147,ROBERT,ORR,PHOENIX MEDICAL GROUP PC,Matched (Fuzzy),"PHOENIX MEDICAL GROUP, PC",100,,medical group,,,,1700841749.0,1063661023.0
148,LUIS,ASENCIO MAGDALENO,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,,1659696821.0
149,ERIC,CHEN,,No Practice Name,,0,,,,,,1174227896.0,
150,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
151,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
152,ABRAHAM,SAYEGH,,No Practice Name,,0,,,,,,1033140744.0,
153,EDWARD,QUINLAN,RETINAL CONSULTANTS OF ARIZONA LTD,Matched (Fuzzy),CALIFORNIA ORBITAL CONSULTANTS INC.,72,,medical group,,,,1053358978.0,1700823051.0
154,KATHRYN,BATES,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,1962557470.0,1659696821.0
155,,UNICOI COUNTY HOSPITAL,MOUNTAIN STATES HEALTH ALLIANCE,Matched (Fuzzy),Alliance Mental Health,75,1780328229.0,CompanyName,,Raymond,NH,,1073064333.0
156,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
157,LEO,CAPOBIANCO,DOCTORS CENTER AT REDROCK,Matched (Fuzzy),THE DOCTORS CENTER,74,,medical group,,,,1063483097.0,
158,BRETT,BRIMHALL,,No Practice Name,,0,,,,,,1790712032.0,
159,KENT,BRAEUTIGAM,PHYSICIANS GROUP SERVICES PA,Matched (Fuzzy),"PHYSICIANS GROUP SERVICES, PA",100,,medical group,,,,1063437861.0,1831530658.0
160,SONI,DHANIREDDY,ONEILL CLARK NARVARTE & VICKS A PROFESSIONAL CORPORATION,Matched (Fuzzy),"AGING GRACE HOUSE CALLS, PROFESSIONAL CORPORATION",71,,medical group,,,,1023214491.0,1962501940.0
161,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
162,REBECCA,MATRO,"SCRIPPS CLINIC MEDICAL GROUP, INC",Matched (Fuzzy),Pros Medical Clinic Inc,76,1750491908.0,CompanyName,,Montclair,CA,1043484405.0,1205959574.0
163,MARK,WALSH,"RASW, PC",Not Matched,,0,,,,,,1083316640.0,1407916992.0
164,KHOZEMA,RAJKOTWALA,CENTERWELL SENIOR PRIMARY CARE (NV) PC,Matched (Fuzzy),"CENTERED PRIMARY CARE, PLLC",74,,medical group,,,,1003878752.0,1922751643.0
165,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
166,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
167,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
168,KHOZEMA,RAJKOTWALA,CENTERWELL SENIOR PRIMARY CARE (NV) PC,Matched (Fuzzy),"CENTERED PRIMARY CARE, PLLC",74,,medical group,,,,1003878752.0,1922751643.0
169,MORGAN,MULLANEY,REX HOSPITAL INC,Matched (Fuzzy),Pinnacle Hospital,79,1891893731.0,Secondary Hospital Affiliation,Bleza,Bluffton,IN,1013175207.0,1508197344.0
170,MICHAEL,WESTAFER,,No Practice Name,,0,,,,,,1033473913.0,
171,ABRAHAM,SAYEGH,,No Practice Name,,0,,,,,,1033140744.0,
172,JULIE,HILARIO,ROLANDO ANIA MD PROF LLC,Not Matched,,0,,,,,,,1740913011.0
173,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
174,MICHAEL,DEPENBUSCH,,No Practice Name,,0,,,,,,1003897794.0,
175,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
176,DURGA,BORKAR,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1063851160.0,1659085777.0
177,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
178,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
179,MICHAEL,PAPPER,"FLORIDA DIGESTIVE HEALTH SPECIALISTS, LLP",Matched (Fuzzy),"DERMATOLOGY HEALTH SPECIALISTS, PC",71,,medical group,,,,1053432104.0,1578385654.0
180,BRETT,BRIMHALL,,No Practice Name,,0,,,,,,1790712032.0,
181,ALBERTO,DUBOY,FLORIDA PHYSICIAN SPECIALISTS LLC,Matched (Fuzzy),FLORIDA PAIN SPECIALISTS,87,,medical group,,,,1003115684.0,1316282478.0
182,DURGA,BORKAR,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1063851160.0,1659085777.0
183,YUZANA,ZAW,"AKDHC, LLC",Matched (Exact),"AKDHC, LLC",100,,medical group,,,,1013313451.0,1013198837.0
184,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
185,DURGA,BORKAR,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1063851160.0,1659085777.0
186,ADOLFO,ANCHONDO,EL PASO PULMONARY ASSOCIATION,Matched (Fuzzy),"PULMONARY ASSOCIATES, PA",88,,medical group,,,,1063410777.0,1568464550.0
187,CHRISTINE,FUNKE,SOUTHWESTERN EYE CENTER LTD,Matched (Fuzzy),Southwest Health Center,80,1750305629.0,Primary Hospital Affiliation,Lucas,Platteville,WI,1063703734.0,1932140894.0
188,CHRISTINE,FUNKE,SOUTHWESTERN EYE CENTER LTD,Matched (Fuzzy),Southwest Health Center,80,1750305629.0,Primary Hospital Affiliation,Lucas,Platteville,WI,1063703734.0,1932140894.0
189,ROBERT,ORR,PHOENIX MEDICAL GROUP PC,Matched (Fuzzy),"PHOENIX MEDICAL GROUP, PC",100,,medical group,,,,1700841749.0,1063661023.0
190,TERESA,COLUNGA,"MARIPOSA COMMUNITY HEALTH CENTER, INC",Matched (Fuzzy),"UMPQUA COMMUNITY HEALTH CENTER, INC",89,,medical group,,,,1023359429.0,1427779305.0
191,HENRY,IGID,ALLISON CURTIS KINGSLEY MEOZ MICHAEL & SANCHEZ PC,Not Matched,,0,,,,,,1003182106.0,1598770471.0
192,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
193,WESLEY,ROWLETTE,CAREMORE HEALTH PLAN OF ARIZONA INC,Matched (Fuzzy),"Central Health Plan of California, Inc.",78,1861527301.0,CompanyName,,Diamond Bar,CA,1023624129.0,1992178982.0
194,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
195,JORDAN,FORMAN,COMMUNITY HEALTH ALLIANCE,Matched (Fuzzy),"ADVANCE COMMUNITY HEALTH, INC",89,,medical group,,,,1023661048.0,1851897664.0
196,RICHARD,BRYAN,SAINT MARYS MEDICAL GROUP INC.,Matched (Fuzzy),"LA Star Medical Group, Inc",81,1801015599.0,CompanyName,,Bellflower,CA,1366428120.0,1861757577.0
197,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
198,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
199,SONI,DHANIREDDY,ONEILL CLARK NARVARTE & VICKS A PROFESSIONAL CORPORATION,Matched (Fuzzy),"AGING GRACE HOUSE CALLS, PROFESSIONAL CORPORATION",71,,medical group,,,,1023214491.0,1962501940.0
200,TERESA,COLUNGA,"MARIPOSA COMMUNITY HEALTH CENTER, INC",Matched (Fuzzy),"UMPQUA COMMUNITY HEALTH CENTER, INC",89,,medical group,,,,1023359429.0,1427779305.0
201,MICHAEL,PAPPER,"FLORIDA DIGESTIVE HEALTH SPECIALISTS, LLP",Matched (Fuzzy),"DERMATOLOGY HEALTH SPECIALISTS, PC",71,,medical group,,,,1053432104.0,1578385654.0
202,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
203,LUIS,ASENCIO MAGDALENO,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,,1659696821.0
204,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
205,MARIO,DI PASCUALE,EYE & OCULAR SURFACE CENTER OF TEXAS LLC,Not Matched,,0,,,,,,1003075094.0,1285055905.0
206,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
207,TODD,HERMAN,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1063788875.0,1487900817.0
208,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
209,MATTHEW,GORDON,CARSON TAHOE PHYSICIAN CLINICS,Matched (Fuzzy),"CLINCH VALLEY PHYSICIANS ASSOCIATES, LLC",73,,medical group,,,,1265591382.0,1013297423.0
210,LAURA,DE LA TORRE,CAREMORE HEALTH PLAN OF ARIZONA INC,Matched (Fuzzy),"Central Health Plan of California, Inc.",78,1861527301.0,CompanyName,,Diamond Bar,CA,1821316399.0,1992178982.0
211,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
212,STEVEN,CONDRON,COMMUNITY CARE SERVICES LLC,Matched (Fuzzy),COMMUNITY CARE RESOURCES INC,84,,medical group,,,,1043423536.0,1396467999.0
213,AMANDA,MELTON,CAREMORE HEALTH PLAN OF ARIZONA INC,Matched (Fuzzy),"Central Health Plan of California, Inc.",78,1861527301.0,CompanyName,,Diamond Bar,CA,1164451894.0,1992178982.0
214,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
215,REBECCA,MATRO,"SCRIPPS CLINIC MEDICAL GROUP, INC",Matched (Fuzzy),Pros Medical Clinic Inc,76,1750491908.0,CompanyName,,Montclair,CA,1043484405.0,1205959574.0
216,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
217,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
218,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
219,JAY,MAHAJAN,CAREMORE HEALTH PLAN OF NEVADA,Not Matched,,0,,,,,,1053632992.0,1770950255.0
220,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
221,RAFAEL,MEDRANO,"LAS PALMAS DEL SOL CARDIOLOGY, PLLC",Not Matched,,0,,,,,,1457151821.0,1255690046.0
222,GEORGE,STOUFFER,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not Matched,,0,,,,,,1003994286.0,1801054762.0
223,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
224,JASON,LONG,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not Matched,,0,,,,,,1154540714.0,1801054762.0
225,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
226,JEROMY,BRINK,ARIZONA ADVANCED SURGERY LLC,Matched (Fuzzy),"ADVANCED URGENT CARE, LLC",77,,medical group,,,,1003876269.0,1346880838.0
227,JULIE,HILARIO,ROLANDO ANIA MD PROF LLC,Not Matched,,0,,,,,,,1740913011.0
228,SAM,FEREIDOUNI,MEDCUBED PLLC,Matched (Fuzzy),LECMED PLLC,75,,medical group,,,,1003007048.0,1366854861.0
229,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
230,GEORGE,STOUFFER,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not Matched,,0,,,,,,1003994286.0,1801054762.0
231,DEVANG,DESAI,RENO HEART INSTITUTE DESAI PC,Matched (Fuzzy),"BOONE HEART INSTITUTE, PC",75,,medical group,,,,1962631515.0,1366183238.0
232,ANGELO,KANELLOS,UROLOGY NEVADA LTD,Matched (Exact),UROLOGY NEVADA LTD,100,,medical group,,,,1013008135.0,1316162795.0
233,MARK,WALSH,"RASW, PC",Not Matched,,0,,,,,,1083316640.0,1407916992.0
234,MIA,MCCALLUM-CRAWFORD,BACCHUS WAKEFIELD KAHAN PC,Matched (Exact),BACCHUS WAKEFIELD KAHAN PC,100,,medical group,,,,1043675325.0,1134628480.0
235,ANUJ,DAFTARI,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",Matched (Exact),"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",100,,medical group,,,,1043452196.0,1487900817.0
236,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
237,DANA,HOLWITT,COMMUNITY HEALTH PARTNERS,Matched (Fuzzy),KARIS COMMUNITY HEALTH,85,,medical group,,,,1043435548.0,1952912420.0
238,,SARASOTA MEMORIAL HOSPITAL - VENICE,SARASOTA COUNTY PUBLIC HOSPITAL DISTRICT,Matched (Fuzzy),PARKER COUNTY HOSPITAL DISTRICT,79,,medical group,,,,,1396458204.0
239,RENE,PULIDO,EMED URGENT AND PRIMARY CARE INC,Matched (Fuzzy),GW PRIMARY AND URGENT CARE LLC,89,,medical group,,,,1033357553.0,1912219064.0
240,ASHLEY,ARMBRUSTER,ASCENSION MEDICAL GROUP PROMED,Matched (Fuzzy),ASCENSION MEDICAL GROUP SACRED HEART,82,,medical group,,,,1053762211.0,1013926997.0
241,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
242,MICHELLE,LIN,BACCHUS WAKEFIELD KAHAN PC,Matched (Exact),BACCHUS WAKEFIELD KAHAN PC,100,,medical group,,,,1568738383.0,1134628480.0
243,JEROMY,BRINK,ARIZONA ADVANCED SURGERY LLC,Matched (Fuzzy),"ADVANCED URGENT CARE, LLC",77,,medical group,,,,1003876269.0,1346880838.0
244,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
245,STEVEN,SIEGEL,"CANCER SPECIALISTS, LLC",Matched (Fuzzy),US NEURO SPECIALISTS PLLC,81,,medical group,,,,1588637391.0,1851656607.0
246,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
247,ABRAHAM,SAYEGH,,No Practice Name,,0,,,,,,1033140744.0,
248,LUIS,ASENCIO MAGDALENO,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,,1659696821.0
249,JOHN,DURONVILLE,"DUKE HEALTH INTEGRATED PRACTICE, INC.",Matched (Exact),"DUKE HEALTH INTEGRATED PRACTICE, INC.",100,,medical group,,,,1063779759.0,1659085777.0
250,JODI,ANTONELLI,"PRIVATE DIAGNOSTIC CLINIC, PLLC",Matched (Fuzzy),SHIFA PEDIATRIC CLINIC PLLC,74,,medical group,,,,1023283017.0,1649757568.0
251,SONI,DHANIREDDY,ONEILL CLARK NARVARTE & VICKS A PROFESSIONAL CORPORATION,Matched (Fuzzy),"AGING GRACE HOUSE CALLS, PROFESSIONAL CORPORATION",71,,medical group,,,,1023214491.0,1962501940.0
252,ALBERTO,DUBOY,FLORIDA PHYSICIAN SPECIALISTS LLC,Matched (Fuzzy),FLORIDA PAIN SPECIALISTS,87,,medical group,,,,1003115684.0,1316282478.0
253,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
254,VAHE,GYULNAZARYAN,"REGAL MEDICAL GROUP, INC.",Matched (Exact),Regal Medical Group,100,1211111111.0,CompanyName,,Northridge,CA,1053757781.0,1588748073.0
255,LIXIAN,ZOU,"AKDHC, LLC",Matched (Exact),"AKDHC, LLC",100,,medical group,,,,1053359737.0,1013198837.0
256,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
257,VIJAY,GOLI,LAS VEGAS UROLOGY LLP,Not Matched,,0,,,,,,1043305972.0,1629054994.0
258,CAESAR,ZUNIGA,"BHS PHYSICIANS NETWORK, INC",Matched (Exact),"BHS PHYSICIANS NETWORK, INC.",100,,medical group,,,,1063473254.0,1619554433.0
259,KENT,BRAEUTIGAM,PHYSICIANS GROUP SERVICES PA,Matched (Fuzzy),"PHYSICIANS GROUP SERVICES, PA",100,,medical group,,,,1063437861.0,1831530658.0
260,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
261,RAHUL,SHARMA,JOSEPH A CAPLAN MD PC,Matched (Fuzzy),JOSEPH G ABDO MD PC,75,,medical group,,,,1063675288.0,1649389156.0
262,MICHAEL,PAPPER,"FLORIDA DIGESTIVE HEALTH SPECIALISTS, LLP",Matched (Fuzzy),"DERMATOLOGY HEALTH SPECIALISTS, PC",71,,medical group,,,,1053432104.0,1578385654.0
263,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
264,ANOOP,SHARMA,ARIZONA STATE UROLOGICAL INSTITUTE LLC,Matched (Fuzzy),"Neurological and Pain Institute, Inc.",74,1164426953.0,CompanyName,,La Mesa,CA,1033185301.0,1144231895.0
265,ELIZABETH,VIDALES,ARIZONA HEALTH ADVANTAGE INC.,Matched (Fuzzy),"ADVANTAGE HOME CARE, INC.",75,,medical group,,,,1053883371.0,1982979555.0
266,MATTHEW,GORDON,CARSON TAHOE PHYSICIAN CLINICS,Matched (Fuzzy),"CLINCH VALLEY PHYSICIANS ASSOCIATES, LLC",73,,medical group,,,,1265591382.0,1013297423.0
267,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
268,BASEL,SHOUA,ARIZONA ONCOLOGY ASSOCIATES PC,Matched (Fuzzy),"BRANDON GYNECOLOGY ASSOCIATES, P.A.",73,,medical group,,,,1003260662.0,1417345919.0
269,MICHAEL,WESTAFER,,No Practice Name,,0,,,,,,1033473913.0,
270,AIMEE,BORAZANCI,SJHMC PHYSICIAN SERVICES,Matched (Fuzzy),HR PHYSICIAN SERVICES,80,,medical group,,,,1053522847.0,1326098005.0
271,LAUREN,RITTENBERG,CARONDELET MEDICAL GROUP,Matched (Fuzzy),CLARET MEDICAL GROUP,86,,medical group,,,,1013203959.0,1659696821.0
272,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
273,TIMOTHY,DO,"JACKSONVILLE MULTISPECIALTY SERVICES, LLC",Matched (Fuzzy),Curson Multi-Specialty,70,1871594648.0,CompanyName,,Los Angeles,CA,1962161281.0,1427298363.0
274,ANNE,FLOYD,ASSOCIATED OPHTHALMOLOGISTS LTD,Matched (Fuzzy),"OTOLARYNGOLOGY ASSOCIATES, LTD",70,,medical group,,,,1306537337.0,1487704581.0
275,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
276,ROSANNA,NICOLETTI,SUMMIT MEDICAL GROUP ARIZONA LLC,Matched (Exact),"SUMMIT MEDICAL GROUP ARIZONA, LLC",100,,medical group,,,,1013927607.0,1053810622.0
277,ELIZABETH,VIDALES,ARIZONA HEALTH ADVANTAGE INC.,Matched (Fuzzy),"ADVANTAGE HOME CARE, INC.",75,,medical group,,,,1053883371.0,1982979555.0
278,RODEL,GLORIA,NORTHEAST FLORIDA ENDOCRINE AND DIABETES ASSOCIATES PA,Matched (Fuzzy),"ENDOCRINOLOGY AND DIABETES OF GEORGIA, P.C.",71,,medical group,,,,1023181245.0,1912108721.0
279,ANGELO,KANELLOS,UROLOGY NEVADA LTD,Matched (Exact),UROLOGY NEVADA LTD,100,,medical group,,,,1013008135.0,1316162795.0
280,DANA,HOLWITT,COMMUNITY HEALTH PARTNERS,Matched (Fuzzy),KARIS COMMUNITY HEALTH,85,,medical group,,,,1043435548.0,1952912420.0
281,ABRAHAM,SAYEGH,,No Practice Name,,0,,,,,,1033140744.0,
282,VAHE,GYULNAZARYAN,"REGAL MEDICAL GROUP, INC.",Matched (Exact),Regal Medical Group,100,1211111111.0,CompanyName,,Northridge,CA,1053757781.0,1588748073.0
283,CHRISTINE,FUNKE,SOUTHWESTERN EYE CENTER LTD,Matched (Fuzzy),Southwest Health Center,80,1750305629.0,Primary Hospital Affiliation,Lucas,Platteville,WI,1063703734.0,1932140894.0
284,AMARDEEP,MAJHAIL,HEALTHCOSMOS MEDICAL GROUP LLC,Matched (Fuzzy),HEALTH ONE MEDICAL GROUP LLC,83,,medical group,,,,1043325483.0,1568131365.0
285,JEFFREY,LEVENSON,"LEVENSON EYE ASSOCIATES, INC.",Matched (Fuzzy),PETERSON MEDICAL ASSOCIATES,74,,medical group,,,,1528031408.0,1821213281.0
286,DAVID,TOM,NOVASPINE PAIN INSTITUTE PLC,Matched (Fuzzy),Pain  Spine Institute,71,1659933646.0,CompanyName,,Joliet,IL,1437184298.0,1841600921.0
287,MIA,MCCALLUM-CRAWFORD,BACCHUS WAKEFIELD KAHAN PC,Matched (Exact),BACCHUS WAKEFIELD KAHAN PC,100,,medical group,,,,1043675325.0,1134628480.0
288,MURALI,MURTY,,No Practice Name,,0,,,,,,1013184423.0,
289,TERESA,COLUNGA,"MARIPOSA COMMUNITY HEALTH CENTER, INC",Matched (Fuzzy),"UMPQUA COMMUNITY HEALTH CENTER, INC",89,,medical group,,,,1023359429.0,1427779305.0
290,REBECCA,JONES,"IORA SENIOR HEALTH, LLC",Matched (Fuzzy),"SPIRE HEALTH, LLC",74,,medical group,,,,1255885620.0,1619376456.0
291,GEORGE,STOUFFER,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,Not Matched,,0,,,,,,1003994286.0,1801054762.0
